,Entry,CHW Flowrate,CHWRT,CHWST,Chilled Water Request,OA Humidity,OA Temperature,Apparent Power,3rd Floor AHU-1|SA Airflow,3rd Floor AHU-2|SA Airflow,3rd Floor AHU-3|SA Airflow,3rd Floor AHU-7|SA Airflow,3rd Floor AHU-8|SA Airflow,Level 2 AHU-4|SA Airflow,Level 2 AHU-5|SA Airflow,Roof AHU-10|SA Airflow,Roof AHU-11|SA Airflow,Roof AHU-12|SA Airflow,Roof AHU-9|SA Airflow,3rd Floor AHU-1|RA Humidity,3rd Floor AHU-2|RA Humidity,3rd Floor AHU-3|RA Humidity,3rd Floor AHU-7|RA Humidity,3rd Floor AHU-8|RA Humidity,Level 2 AHU-4|RA Humidity,Level 2 AHU-5|RA Humidity,Roof AHU-10|RA Humidity,Roof AHU-11|RA Humidity,Roof AHU-12|RA Humidity,Roof AHU-9|RA Humidity,Run Time
855,855,2.013012648,55.08297729,46.11702347,0,50.16898727,77.63596344,605989,4640.427734,3197.850098,5276.228516,1131.897095,19973.13672,3906.64624,3982.760498,19371.00977,21363.93164,24817.41797,21306.60156,44.11141586,44.02561569,46.81901932,41.7565155,48.94834137,51.80165482,63.40630341,46.83052063,46.79214859,45.98511887,45.30994034,0
856,856,0.013695679,55.18291855,46.01708221,0,50.17198944,77.72176361,603055,4637.296387,3197.850098,5287.683594,1125.197021,19951.18555,3895.245605,3993.428467,19355.00195,21294.45703,24688.07422,21277.7832,44.10297775,43.98291016,46.76501846,42.17597961,48.90182877,51.89406967,63.39505768,46.77730942,46.76307678,46.06127167,45.27687454,0
857,857,7.957401276,55.28303146,45.9169693,0,50.17498779,77.76164246,600121,4631.456543,3196.397461,5303.411621,1116.782104,19890.09375,3874.706055,3996.710938,19188.36133,21270.33594,24524.38477,21189.30273,44.10897446,43.94091034,46.71102142,42.60178757,48.85181808,51.83607483,63.43706131,46.75330353,46.7690773,45.51929474,45.25287628,0
858,858,4.022592545,55.29999924,45.65135193,0,50.17798996,77.79315186,596860,4625.616211,3194.937744,5319.140137,1108.367065,19829.00195,3854.166504,3999.993408,19021.7207,21246.21484,24360.69531,21100.82031,44.11497498,43.89891434,46.65702057,43.02759171,48.80181122,51.77807999,63.47906494,46.72929764,46.77507782,44.97731781,45.22887802,0
859,859,4,55.29999924,45.59999847,0,50.18098831,77.82465363,593597,4619.775879,3200.730469,5334.868652,1099.952026,19767.91016,3833.626709,4003.275879,18855.08008,21222.09375,24197.00586,21012.33984,44.12097549,43.85691452,46.60301971,43.45339966,48.75180054,51.72008514,63.52106857,46.70529175,46.78107834,44.43534088,45.20487976,0
860,860,4,55.29999924,45.59999847,0,50.18398666,77.8561554,590333,4613.936035,3206.5625,5350.597168,1091.537109,19706.81641,3813.087158,4006.55835,18688.4375,21197.97266,24033.31445,20923.85742,44.12697601,43.8149147,46.54901886,43.87920761,48.70178986,51.6620903,63.56307602,46.68128967,46.78707886,43.89336395,45.1808815,0
861,861,0.021929363,55.29999924,45.59999847,0,50.18698883,77.88766479,590746,4607.92627,3201.760986,5357.422363,1105.005005,19688.33398,3835.793457,4005.102295,18535.33984,21241.97656,23997.30078,20813.43945,44.12405396,43.82321167,46.51074982,44.14562607,48.66307831,51.60409546,63.51791382,46.66364288,46.78384399,43.0807991,45.17655563,0
862,862,8.94920826,55.38297653,45.59999847,0,50.18998718,77.91916656,591197,4601.881348,3196.890137,5361.979492,1125.875244,19702.74805,3870.657227,3997.360596,18406.06055,21414.6875,24220.82031,20667.06055,44.1120491,43.85920715,46.49074936,44.18364334,48.63308716,51.54610062,63.41391373,46.65164948,46.77184677,41.99285889,45.18855667,0
863,863,17.94760895,55.31705475,45.59999847,1,50.19298935,77.95067596,591283,4595.836426,3197.516846,5366.536621,1146.745483,19717.16406,3905.520996,3989.619141,18276.7832,21587.39844,24444.33984,20520.68164,44.10004425,43.89520264,46.4707489,44.22166061,48.60309982,51.48810577,63.30991364,46.63965225,46.75985336,40.90492249,45.20055771,1
864,864,26.94600868,55.29999924,45.43416214,1,50.1959877,77.98217773,591366,4589.791992,3198.166016,5371.09375,1167.615723,19731.57813,3940.384766,3981.877686,18147.50391,21760.10938,24667.85938,20374.30273,44.08804321,43.93119812,46.45074844,44.25967789,48.57310867,51.43011475,63.20591354,46.62765503,46.74785614,39.81698608,45.21255875,2
865,865,13.57764435,55.25854874,45.40000153,1,50.19898987,78.0136795,591449,4583.74707,3196.718506,5375.651367,1188.485962,19745.99414,3975.248535,3974.135986,18018.22461,21932.81836,24891.37891,20227.92383,44.07603836,43.96719742,46.43074799,44.29769516,48.54312134,51.3721199,63.10191345,46.61565781,46.73585892,38.72904587,45.22455978,3
866,866,0.074268982,55.20855331,45.40000153,1,49.42741776,78.0451889,591533,4587.581543,3195.258301,5375.526367,1158.440552,19683.65625,3993.659912,3972.043701,17903.98242,22050.66992,25072.95508,20165.32227,44.05807495,43.88978958,46.46255493,44.19359589,48.52662277,51.13841248,62.98002243,46.3098259,46.711586,38.94208527,45.20704651,4
